Ranking, Nombre de la Cancion, Nombre del Autor, Apellido del Autor, Nombre del Interprete, Apellido del Interprete
1,Etrusto Unico,Jose,Madero,Jose,Madero,
7,Rayo de Luz,Jose,Madero,Jose,Madero,
12,Los Malaventurados No Lloran,Jose,Madero,Panda,Band,
22,So¤‚,Jose,Madero,Panda,Band,
5,Cita en el Quir¢fano,Jose,Madero,Panda,Band,
17,Cuando No Es Como Deber¡a Ser,Jose,Madero,Panda,Band,
24,Labios Rotos,Leon,Larregui,Zoe,Band,
2,V¡a L ctea,Leon,Larregui,Zoe,Band,
30,Paula,Leon,Larregui,Zoe,Band,
14,Arrullo de Estrellas,Leon,Larregui,Zoe,Band,
47,Nada,Leon,Larregui,Zoe,Band,
28,La Ley del Monte,Vicente,Fernandez,Vicente,Fernandez,
41,Mujeres Divinas,Vicente,Fernandez,Vicente,Fernandez,
3,Volver Volver,Vicente,Fernandez,Vicente,Fernandez,
33,Hermoso Cari¤o,Vicente,Fernandez,Vicente,Fernandez,
19,El Rey,Vicente,Fernandez,Vicente,Fernandez,
8,Julieta,Pablo,Preciado,Latin,Mafia,
21,No Me Conozco,Miloh,Smith,Latin,Mafia,
29,Patadas de Ahogado,Miloh,Smith,Latin,Mafia,
38,Morir De Amor,Pablo,Preciado,Latin,Mafia,
44,Eres un µngel,Miloh,Smith,Latin,Mafia,
6,Amorfoda,Benito,Martinez,Bad,Bunny,
40,Ojitos Lindos,Benito,Martinez,Bad,Bunny,
15,D kiti,Benito,Martinez,Bad,Bunny,
25,Callaita,Benito,Martinez,Bad,Bunny,
49,Tit¡ Me Pregunt¢,Benito,Martinez,Bad,Bunny,
18,Eres,Leon,Larregui,Zoe,Band,
11,Love,Leon,Larregui,Zoe,Band,
23,D‚jate Conectar,Leon,Larregui,Zoe,Band,
34,Final Feliz,Leon,Larregui,Zoe,Band,
9,Azul,Leon,Larregui,Zoe,Band,
13,Solo a Terceros,Jose,Madero,Panda,Band,
35,Mi‚rcoles,Jose,Madero,Panda,Band,
27,Disculpa los Malos Pensamientos,Jose,Madero,Panda,Band,
10,Ya No Jalaba,Jose,Madero,Panda,Band,
36,Un Hombre con Suerte,Vicente,Fernandez,Vicente,Fernandez,
26,Estos Celos,Vicente,Fernandez,Vicente,Fernandez,
4,Por Tu Maldito Amor,Vicente,Fernandez,Vicente,Fernandez,
39,Ac  Entre Nos,Vicente,Fernandez,Vicente,Fernandez,
31,L stima que Seas Ajena,Vicente,Fernandez,Vicente,Fernandez,
42,No Es Que No Te Quiera,Pablo,Preciado,Latin,Mafia,
16,Me Esperabas,Miloh,Smith,Latin,Mafia,
32,Perfecto,Pablo,Preciado,Latin,Mafia,
37,Incondicional,Miloh,Smith,Latin,Mafia,
48,Dos Mil Trece,Pablo,Preciado,Latin,Mafia,
43,Desvelado,Bobby,Pulido,Bobby,Pulido,
46,Dile al Amor,Anthony,Santos,Anthony,Santos,
45,Mi Historia Entre Tus Dedos,Gianluca,Grignani,Gianluca,Grignani,
